"scenario","phase","repeat","source_hash","build_id","content_hash","shader_hash","timed_frames","actual_duration_ms","measured_frames_per_second","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","raw_instances","visible_min","visible_max","lights_min","lights_max","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","vma_budget_peak_bytes"
"small","baseline","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","8a43b8739363807813b9d2caa9cf4a2267ad53c74d08fe898b2571b00c540d78","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","495","5035,55","98,30107932599219","6,444","36,723","57,67148","5,91421860561","33,831905424","46,5614780299","5,978","0,011","0,039","0,117","0,009","40","40","40","5","5","11","1","0","5","1","0","7232","286859264","231854080","75980672","38823561584"
"small","candidate","3","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","8a43b8739363807813b9d2caa9cf4a2267ad53c74d08fe898b2571b00c540d78","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","506","5019,179","100,81330034254606","7,236","32,27525","45,44865","6,76312483488","32,1673820272","42,8452619748","6,8035","0,012","0,03","0,11","0,01","40","40","40","5","5","11","1","0","5","1","0","7232","286846976","232026112","75980672","38823561584"
"instances-1000","baseline","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","f77da26c938bdd0ce400a24bb9c65305352d8d83d810a8ff8c28c11f7340220f","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","1012","5001,879","202,3239666533317","2,8975","15,72425","29,05728","1,97330724349","13,3177132165","19,9588922211","0,3365","0,077","0,528","1,3125","0,017","1004","1004","1004","2","2","11","1","0","2","1","0","133472","288473088","231743488","71217344","38823561584"
"instances-1000","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","f77da26c938bdd0ce400a24bb9c65305352d8d83d810a8ff8c28c11f7340220f","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","1622","5003,351","324,1827327325227","2,445","6,97685","15,24775","1,81966141391","5,16390091559","12,0704684553","0,4195","0,063","0,3755","0,968","0,011","1004","1004","1004","2","2","11","1","0","2","1","0","133472","289001472","234041344","71217344","38823561584"
"instances-1000","candidate","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","f77da26c938bdd0ce400a24bb9c65305352d8d83d810a8ff8c28c11f7340220f","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","1510","5001,775","301,8928280460437","2,603","8,8286","16,27252","1,82624995541","6,94657274707","13,023827807","0,232","0,065","0,429","1,1875","0,014","1004","1004","1004","2","2","11","1","0","2","1","0","133472","288632832","233697280","71217344","38823561584"
"instances-1000","baseline","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","f77da26c938bdd0ce400a24bb9c65305352d8d83d810a8ff8c28c11f7340220f","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","1666","5009,544","332,5651995471045","2,539","5,8215","12,47775","1,81794266395","4,29914052004","10,7334111963","0,0635","0,066","0,468","1,1815","0,013","1004","1004","1004","2","2","11","1","0","2","1","0","133472","288538624","233701376","71217344","38823561584"
"instances-1000","baseline","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","f77da26c938bdd0ce400a24bb9c65305352d8d83d810a8ff8c28c11f7340220f","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","1160","5008,197","231,62028171016436","2,8505","13,1277","26,84559","1,94770828578","9,3840310209","19,1601406781","0,258","0,072","0,5155000000000001","1,299","0,016","1004","1004","1004","2","2","11","1","0","2","1","0","133472","288911360","233959424","71217344","38823561584"
"instances-1000","candidate","3","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","f77da26c938bdd0ce400a24bb9c65305352d8d83d810a8ff8c28c11f7340220f","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","1516","5001,16","303,12967391565155","2,436","8,72975","18,5918","1,79752599778","6,35686182397","14,8195360965","0,2035","0,059","0,405","1,093","0,013","1004","1004","1004","2","2","11","1","0","2","1","0","133472","288837632","232304640","71217344","38823561584"
"instances-10000-visible","baseline","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","209","5015,255","41,672856115990115","20,12","50,4398","59,0736","7,359166487","41,6914885655","56,6088757013","0,001","0,684","5,531","10,03","0,122","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","308076544","245194752","73683136","38823561584"
"instances-10000-visible","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","185","5008,225","36,93923495849327","19,914","56,5142","65,16348","8,00208313797","50,040634195","61,1895485061","0,001","0,654","5,638","9,88","0,13","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","308477952","245809152","73683136","38823561584"
"instances-10000-visible","candidate","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","319","5005,372","63,73152684755498","13,6","26,4918","31,6194","6,20604151515","21,2513901062","24,0247400385","0,001","0,611","3,766","6,77","0,118","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","308416512","245555200","73683136","38823561584"
"instances-10000-visible","baseline","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","353","5010,26","70,45542546694183","12,829","24,138","28,45312","5,70734361066","20,1848640905","22,6174327811","0,001","0,545","3,881","6,502","0,106","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","309633024","246546432","73683136","38823561584"
"instances-10000-visible","baseline","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","203","5051,409","40,186807284858546","21,796","51,8863","70,7463","6,8089581671","39,3933271632","63,7087807363","0,001","0,789","6,235","11,089","0,129","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","308518912","245813248","73683136","38823561584"
"instances-10000-visible","candidate","3","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","222","5023,878","44,18897114937903","17,484","54,88765","94,64144","6,28140609665","46,0005275228","83,502452128","0,001","0,5995","4,301","7,7735","0,1155","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","308482048","245669888","73683136","38823561584"
"instances-10000-culled","baseline","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","7d0b18fdfed6b58ac917fab6c53b72c148440938b6741667c727817947ee2ba4","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","158","5100,516","30,9772579872311","24,4585","73,26415","116,9883","13,9154163269","60,3973839421","86,1178546683","12,8225","0,5205","5,588","2,5075000000000003","0,145","10004","104","104","2","2","11","1","0","2","1","0","1281872","302333952","240263168","73499584","38823561584"
"instances-10000-culled","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","7d0b18fdfed6b58ac917fab6c53b72c148440938b6741667c727817947ee2ba4","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","210","5000,28","41,99764813170463","16,3285","58,45215","144,19197","4,81325509082","41,1233141002","102,60628812","0,002","0,675","7,736000000000001","1,84","0,1485","10004","104","104","2","2","11","1","0","2","1","0","1281872","302379008","240193536","73499584","38823561584"
"instances-10000-culled","candidate","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","7d0b18fdfed6b58ac917fab6c53b72c148440938b6741667c727817947ee2ba4","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","49","5100,01","9,607824298383727","79,496","246,9526","369,42336","49,9122383648","214,312359351","265,948562257","69,79","0,623","5,349","1,488","0,138","10004","104","104","2","2","11","1","0","2","1","0","1281872","302317568","240246784","73499584","38823561584"
"instances-10000-culled","baseline","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","7d0b18fdfed6b58ac917fab6c53b72c148440938b6741667c727817947ee2ba4","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","222","5007,424","44,33417262049309","16,5855","60,1302","94,00778","2,90773430401","26,1838379024","47,7225441474","0,002","0,592","8,288","3,3675","0,166","10004","104","104","2","2","11","1","0","2","1","0","1281872","302211072","240201728","73499584","38823561584"
"instances-10000-culled","baseline","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","7d0b18fdfed6b58ac917fab6c53b72c148440938b6741667c727817947ee2ba4","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","56","5103,931","10,971935161349165","52,193","234,05725","635,9337","39,9829677739","164,970100139","382,969050546","34,3805","0,629","6,7715","2,8605","0,1485","10004","104","104","2","2","11","1","0","2","1","0","1281872","302321664","240173056","73499584","38823561584"
"instances-10000-culled","candidate","3","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","7d0b18fdfed6b58ac917fab6c53b72c148440938b6741667c727817947ee2ba4","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","302","5005,011","60,33952772531369","13,7555","33,1734","51,51593","3,17861971406","24,1036556615","30,011009684","0,002","0,559","6,1805","1,7229999999999999","0,147","10004","104","104","2","2","11","1","0","2","1","0","1281872","302313472","240349184","73499584","38823561584"
