frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
0,147.872,0.023,0.014,0.062,1.402,0,0,,1,78.125,377393152,466595840,1,114450368,114450368,301572096,38823561584,40,40,0,33,3,340,3,6,1,0,1,352,353,354,2,195,0,33,2,24348,24504,0.586,12.768,0.266
1,10.917,0.013,0.013,0.015,0.409,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24072,0.105,0.947,0.298
2,56.61,47.441,0.015,0.019,0.352,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24056,0.086,1.069,0.077
3,65.133,54.621,0.013,0.019,0.296,0,0,,0,,,,0,,,,,40,40,0,33,3,336,3,6,1,0,1,348,349,350,2,192,1,32,2,0,24080,0.078,0.99,0.166

summary_metric,count,median,p95,p99
wall_ms,4,60.8715,135.46115,145.38983
frame_wait_ms,4,23.732,53.544,54.4056
scene_advance_ms,4,0.0135,0.01485,0.01497
view_build_ms,4,0.019,0.05555,0.06071
render_submit_ms,4,0.3805,1.25305,1.37221
gpu_ms,4,61.3097120448,116.853294022,124.382656338

gpu_sample_serial,gpu_ms
1,58.6906756505
2,63.5203109492
3,59.0991131405
4,126.264996917
