frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
0,127.023,0.01,0,0.08,0.516,0,0,,1,31.25,366010368,423710720,1,114504640,114504640,301572096,38823561584,40,40,0,129,3,1321,3,15,1,0,1,1342,1343,1344,5,771,0,129,5,24348,78800,0.145,4.979,0.104
1,11.709,0.003,0.001,0.018,0.066,0,0,,0,,,,0,,,,,40,40,0,129,3,1313,3,15,1,0,1,1334,1335,1336,5,768,1,128,5,0,78420,0.227,4.319,0.154
2,195.671,189.601,0,0.021,0.068,0,0,,0,,,,0,,,,,40,40,0,129,3,1313,3,15,1,0,1,1334,1335,1336,5,768,1,128,5,0,78420,0.234,3.787,0.017
3,145.264,140.438,0.001,0.02,0.051,0,0,,0,,,,0,,,,,40,40,0,129,3,1313,3,15,1,0,1,1334,1335,1336,5,768,1,128,5,0,78420,0.193,2.85,0.014

summary_metric,count,median,p95,p99
wall_ms,4,136.1435,188.10995,194.15879
frame_wait_ms,4,70.224,182.22655,188.12611
scene_advance_ms,4,0.0005,0.001,0.001
view_build_ms,4,0.0205,0.07115,0.07823
render_submit_ms,4,0.067,0.4488,0.50256
gpu_ms,4,173.944553045,224.848335656,228.153204326

gpu_sample_serial,gpu_ms
1,201.438849249
2,146.450256841
3,131.093538466
4,228.979421493
