[Metrics] FPS: 1413.937866 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.076128ms | CPU: 8.329135% | RAM: 606MB
[Metrics] FPS: 1574.962524 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075232ms | CPU: 8.319643% | RAM: 606MB
[Metrics] FPS: 1632.233398 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075552ms | CPU: 8.069519% | RAM: 606MB
[Metrics] FPS: 1450.089844 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075168ms | CPU: 8.072382% | RAM: 606MB
[Metrics] FPS: 1435.393799 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075136ms | CPU: 8.060928% | RAM: 606MB
[Metrics] FPS: 1608.885376 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.077536ms | CPU: 8.346467% | RAM: 606MB
[Metrics] FPS: 1551.752808 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075264ms | CPU: 8.327952% | RAM: 606MB
[Metrics] FPS: 1474.979370 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075968ms | CPU: 8.338840% | RAM: 606MB
[Metrics] FPS: 1468.549438 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075456ms | CPU: 7.804006% | RAM: 606MB
[Metrics] FPS: 1535.925903 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075872ms | CPU: 8.066159% | RAM: 606MB
[Metrics] FPS: 1605.665894 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075680ms | CPU: 8.322358% | RAM: 606MB
[Metrics] FPS: 1360.012451 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.076224ms | CPU: 8.312547% | RAM: 606MB
[Metrics] FPS: 1615.727295 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.076672ms | CPU: 7.820574% | RAM: 606MB
[Metrics] FPS: 1589.218018 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.076416ms | CPU: 8.328305% | RAM: 606MB
[Metrics] FPS: 1805.387573 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.050368ms | CPU: 0.000000% | RAM: 102MB
[Metrics] FPS: 1858.376709 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.050784ms | CPU: 7.031161% | RAM: 103MB
[Metrics] FPS: 1581.012085 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.050528ms | CPU: 6.770804% | RAM: 103MB
[Metrics] FPS: 1756.443115 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.051040ms | CPU: 6.756843% | RAM: 103MB
[Metrics] FPS: 1895.538086 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.053888ms | CPU: 6.509445% | RAM: 103MB
[Metrics] FPS: 1904.986816 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.054688ms | CPU: 7.293175% | RAM: 103MB
[Metrics] FPS: 1914.609131 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.055360ms | CPU: 6.509488% | RAM: 103MB
[Metrics] FPS: 798.767639 | Visible chunks: 17 | Visible polys: 3168 | GPU: 0.056160ms | CPU: 3.518521% | RAM: 103MB
[Metrics] FPS: 1814.465332 | Visible chunks: 19 | Visible polys: 3194 | GPU: 0.061184ms | CPU: 5.479426% | RAM: 103MB
[Metrics] FPS: 1808.760986 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.060800ms | CPU: 7.292282% | RAM: 103MB
[Metrics] FPS: 1865.989502 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.061312ms | CPU: 5.721916% | RAM: 103MB
[Metrics] FPS: 1843.171875 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.062272ms | CPU: 6.510335% | RAM: 103MB
[Metrics] FPS: 1766.549927 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.060480ms | CPU: 7.811663% | RAM: 103MB
[Metrics] FPS: 1855.221191 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.059104ms | CPU: 6.511335% | RAM: 103MB
[Metrics] FPS: 1788.752808 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.060192ms | CPU: 7.027497% | RAM: 103MB
[Metrics] FPS: 1786.908691 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.060064ms | CPU: 7.281129% | RAM: 103MB
[Metrics] FPS: 1791.550537 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.061440ms | CPU: 7.291390% | RAM: 103MB
[Metrics] FPS: 1795.371704 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.062240ms | CPU: 7.016899% | RAM: 103MB
[Metrics] FPS: 1811.187012 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.062784ms | CPU: 7.293543% | RAM: 103MB
[Metrics] FPS: 1819.529053 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.063488ms | CPU: 7.548010% | RAM: 103MB
[Metrics] FPS: 1893.904297 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.062464ms | CPU: 6.250418% | RAM: 103MB
[Metrics] FPS: 1901.341675 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.062016ms | CPU: 5.965169% | RAM: 103MB
[Metrics] FPS: 1920.998901 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.061408ms | CPU: 7.036087% | RAM: 103MB
[Metrics] FPS: 1853.621948 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.058720ms | CPU: 6.255244% | RAM: 103MB
[Metrics] FPS: 1649.805176 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.057248ms | CPU: 6.762742% | RAM: 103MB
[Metrics] FPS: 1779.777344 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.057248ms | CPU: 6.253531% | RAM: 103MB
[Metrics] FPS: 1949.411377 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.056192ms | CPU: 7.008672% | RAM: 103MB
[Metrics] FPS: 1685.750122 | Visible chunks: 20 | Visible polys: 3214 | GPU: 0.057024ms | CPU: 6.250210% | RAM: 103MB
