frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
0,99.354,0.027,0,0.064,1.548,0,0,,1,46.875,378982400,472391680,1,114504640,114504640,301572096,38823561584,40,40,0,129,3,1321,3,15,1,0,1,1342,1343,1344,5,771,0,129,5,24348,78800,0.247,12.457,0.341
1,38.965,0.017,0,0.013,0.427,0,0,,0,,,,0,,,,,40,40,0,129,3,1313,3,15,1,0,1,1334,1335,1336,5,768,1,128,5,0,78420,0.302,3.984,0.418
2,194.989,166.723,0.001,0.019,0.294,0,0,,0,,,,0,,,,,40,40,0,129,3,1313,3,15,1,0,1,1334,1335,1336,5,768,1,128,5,0,78420,0.166,2.777,0.062
3,188.541,160.228,0.001,0.012,0.318,0,0,,0,,,,0,,,,,40,40,0,129,3,1313,3,15,1,0,1,1334,1335,1336,5,768,1,128,5,0,78420,0.133,2.953,0.071

summary_metric,count,median,p95,p99
wall_ms,4,143.9475,194.0218,194.79556
frame_wait_ms,4,80.1275,165.74875,166.52815
scene_advance_ms,4,0.0005,0.001,0.001
view_build_ms,4,0.016,0.05725,0.06265
render_submit_ms,4,0.3725,1.37985,1.51437
gpu_ms,4,181.377078905,215.899179625,220.112373272

gpu_sample_serial,gpu_ms
1,176.698433186
2,186.055724624
3,221.165671684
4,102.004632926
