"scenario","phase","repeat","source_hash","build_id","content_hash","shader_hash","timed_frames","actual_duration_ms","measured_frames_per_second","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","raw_instances","visible_min","visible_max","lights_min","lights_max","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","vma_budget_peak_bytes"
"instances-10000-visible","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","223","5018,414","44,43634981091636","19,759","40,3308","55,52244","4,88437488075","34,9173324809","69,7616389218","0,001","0,685","5,545","9,818","0,119","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","309211136","244637696","73683136","38823561584"
"instances-10000-visible","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","192","5015,851","38,278649026855064","21,9375","48,9518","80,34289","7,32414044619","45,5768452415","68,5680863468","0,001","0,705","5,7655","10,124","0,1205","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","308424704","243933184","73683136","38823561584"
"instances-10000-culled","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","7d0b18fdfed6b58ac917fab6c53b72c148440938b6741667c727817947ee2ba4","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","608","5002,587","121,53711669582157","6,6015","15,70895","33,43683","1,87783849582","11,0634111882","25,4263233376","0,001","0,3655","3,3845","1,2765","0,125","10004","104","104","2","2","11","1","0","2","1","0","1281872","303566848","241139712","73499584","38823561584"
"instances-10000-culled","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","7d0b18fdfed6b58ac917fab6c53b72c148440938b6741667c727817947ee2ba4","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","854","5000,47","170,78394630904694","4,926","11,2112","17,36439","1,7121874582","7,51509096236","13,0534715563","0,001","0,325","2,5655","0,969","0,09","10004","104","104","2","2","11","1","0","2","1","0","1281872","303087616","242593792","73499584","38823561584"
"instances-10000-culled","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","7d0b18fdfed6b58ac917fab6c53b72c148440938b6741667c727817947ee2ba4","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","740","5014,074","147,58457892723564","6,0715","11,76075","18,71342","2,00932286761","6,69685400317","11,6708846109","0,001","0,328","3,1505","1,125","0,116","10004","104","104","2","2","11","1","0","2","1","0","1281872","303403008","242917376","73499584","38823561584"
"instances-10000-moving","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","245","5010,807","48,89431981714722","18,154","35,5614","50,58556","7,88671855745","31,9817804692","46,2189030383","0,001","1,681","4,398","9,048","0,114","10004","10004","10004","2","2","32","1","9","0","1","0","1426712","309178368","246345728","73789376","38823561584"
"instances-10000-moving","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","216","5010,766","43,107181616543265","20,013","39,9845","71,16235","7,65502585478","34,3456241615","59,2727355321","0,001","1,7815","4,7515","10,7715","0,1195","10004","10004","10004","2","2","32","1","9","0","1","0","1426810","308015104","243597312","73789376","38823561584"
"instances-10000-moving","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","201","5000,103","40,19917189705892","21,521","42,424","106,342","7,69911439537","35,758280377","108,531507767","0,001","1,851","4,848","11,149","0,118","10004","10004","10004","2","2","32","1","9","0","1","0","1426716","308420608","243937280","73789376","38823561584"
"lights-1","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","c7f508fcac5fcf5149d8b929114e1a5705919b68fbadafc4f5a9b002fe60ec2b","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","1015","5006,72","202,7275341940432","3,925","9,8609","21,08936","3,20890617166","8,50518729235","18,9691089119","3,615","0,008","0,034","0,053","0,007","40","40","40","2","2","11","1","0","2","1","0","6224","286547968","230203392","70948032","38823561584"
"lights-1","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","c7f508fcac5fcf5149d8b929114e1a5705919b68fbadafc4f5a9b002fe60ec2b","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","913","5002,402","182,51232108095272","4,58","10,8934","28,812","3,98505198604","9,42103101999","25,1388243863","4,204","0,009","0,037","0,057","0,008","40","40","40","2","2","11","1","0","2","1","0","6224","286695424","230305792","70948032","38823561584"
"lights-1","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","c7f508fcac5fcf5149d8b929114e1a5705919b68fbadafc4f5a9b002fe60ec2b","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","977","5025,694","194,40101207912775","4,212","9,8606","23,3612","3,63515616125","8,68599978794","21,0841453186","3,873","0,009","0,036","0,054","0,008","40","40","40","2","2","11","1","0","2","1","0","6224","286797824","230326272","70948032","38823561584"
