"scenario","phase","repeat","source_hash","build_id","content_hash","shader_hash","timed_frames","actual_duration_ms","measured_frames_per_second","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","raw_instances","visible_min","visible_max","lights_min","lights_max","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","vma_budget_peak_bytes"
"moving-lights-32","baseline","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","f0370a25be53b7f8d09fc1019c57117f9c661d69737f725d60ab293b9c2ccc65","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","94","5014,139","18,746987269399593","47,4385","100,1451","109,69745","45,6532801354","93,5695550073","103,74807455","45,6075","0,023","0,0555","0,8685","0,012","40","40","40","33","33","345","2","192","1","2","0","24054","422514688","365117440","135409664","38823561584"
"moving-lights-32","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","f0370a25be53b7f8d09fc1019c57117f9c661d69737f725d60ab293b9c2ccc65","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","63","5047,26","12,482019947456639","57,026","190,5376","342,50314","59,294633969","180,191657059","315,66110271","55,136","0,024","0,055","0,951","0,013","40","40","40","33","33","345","2","192","1","2","0","24060","422596608","365072384","135409664","38823561584"
"moving-lights-32","candidate","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","f0370a25be53b7f8d09fc1019c57117f9c661d69737f725d60ab293b9c2ccc65","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","128","5018,462","25,50582230173308","35,1335","71,0717","108,1737","33,6195825125","65,0850530985","94,2569112405","33,1005","0,022","0,057","0,8875","0,012","40","40","40","33","33","344,5","2","192","1","2","0","24052","422506496","365072384","135409664","38823561584"
"moving-lights-32","baseline","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","f0370a25be53b7f8d09fc1019c57117f9c661d69737f725d60ab293b9c2ccc65","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","132","5010,505","26,34464989057989","29,275","81,75055","105,39394","27,7681503637","73,7529539286","104,113062042","27,1585","0,023","0,0525","0,876","0,012","40","40","40","33","33","344","2","192","1","2","0","24050","422563840","365174784","135409664","38823561584"
"moving-lights-32","baseline","3","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","f0370a25be53b7f8d09fc1019c57117f9c661d69737f725d60ab293b9c2ccc65","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","99","5024,426","19,703743273360974","43,498","96,0404","134,28998","42,6676552083","93,0435081451","133,789772775","41,555","0,023","0,057","0,827","0,012","40","40","40","33","33","344","2","192","1","2","0","24052","422699008","365174784","135409664","38823561584"
"moving-lights-32","candidate","3","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","f0370a25be53b7f8d09fc1019c57117f9c661d69737f725d60ab293b9c2ccc65","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","103","5005,39","20,577817113152022","40,127","82,5599","146,81952","38,4105198956","78,248425173","126,629762533","38,444","0,024","0,058","0,905","0,013","40","40","40","33","33","344","2","192","1","2","0","24056","422526976","365129728","135409664","38823561584"
"moving-lights-32","candidate","4","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","f0370a25be53b7f8d09fc1019c57117f9c661d69737f725d60ab293b9c2ccc65","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","111","5000,649","22,197118813977944","33,99","106,1555","186,3474","33,4529679333","92,0858831685","180,827381002","32,527","0,024","0,058","0,938","0,012","40","40","40","33","33","344","2","192","1","2","0","24044","422649856","365191168","135409664","38823561584"
"moving-lights-32","baseline","4","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","f0370a25be53b7f8d09fc1019c57117f9c661d69737f725d60ab293b9c2ccc65","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","160","5032,236","31,795011203767075","28,3355","50,81295","81,36994","27,0922649636","49,601326914","77,0914840554","26,1765","0,022","0,05","0,865","0,012","40","40","40","33","33","344,5","2","192","1","2","0","24048","422625280","366874624","135409664","38823561584"
